Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.121 Mobile Safari/537.36 Telegram-Android/12.1.0 (Samsung GT-I9100P; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.78 Mobile Safari/537.36 Telegram-Android/12.5.2 (Samsung SCH-R930; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.75 Mobile Safari/537.36 Telegram-Android/12.4.1 (OnePlus CPH2619; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.112 Mobile Safari/537.36 Telegram-Android/12.0.0 (Samsung SHV-E140L; Android 12; SDK 32; MEDIUM)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.60 Mobile Safari/537.36 Telegram-Android/11.6.1 (Samsung SM-A605FN; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.78 Mobile Safari/537.36 Telegram-Android/12.5.2 (Tecno TECNO KE5k; Android 16; SDK 36; MEDIUM)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.121 Mobile Safari/537.36 Telegram-Android/12.2.1 (Samsung SM-N960U; Android 12; SDK 32; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.134 Mobile Safari/537.36 Telegram-Android/12.0.0 (OnePlus BE2026; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6635.101 Mobile Safari/537.36 Telegram-Android/12.2.1 (Samsung SM-T725N; Android 12; SDK 32; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6635.90 Mobile Safari/537.36 Telegram-Android/12.2.1 (Tecno TECNO KJ7s; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.75 Mobile Safari/537.36 Telegram-Android/12.2.1 (OnePlus LE2125; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.100 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SM-L330; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.112 Mobile Safari/537.36 Telegram-Android/12.0.0 (Xiaomi MiBOX2; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SM-N930W8; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.163 Mobile Safari/537.36 Telegram-Android/12.2.1 (Samsung SM-T825X; Android 15; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.78 Mobile Safari/537.36 Telegram-Android/12.0.0 (Samsung SM-S911C; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.134 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SM-A9200; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.120 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SM-X117; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.112 Mobile Safari/537.36 Telegram-Android/11.7.0 (Samsung SM-E700H; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.99 Mobile Safari/537.36 Telegram-Android/11.6.1 (Samsung GT-P7503; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.134 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SM-A217M; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.95 Mobile Safari/537.36 Telegram-Android/12.1.0 (Samsung SM-G110H; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.95 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SCT21; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.99 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SM-G900R4; Android 12; SDK 32; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.100 Mobile Safari/537.36 Telegram-Android/11.7.0 (Samsung SM-S550TL; Android 15; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 Mobile Safari/537.36 Telegram-Android/12.1.0 (Samsung SM-S947W; Android 16; SDK 36; MEDIUM)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6635.101 Mobile Safari/537.36 Telegram-Android/11.7.0 (Samsung SHV-E310L; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.100 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SM-S506DL; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.95 Mobile Safari/537.36 Telegram-Android/11.7.0 (Samsung SM-S907VL; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6635.90 Mobile Safari/537.36 Telegram-Android/11.5.3 (Samsung SPH-M910; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.95 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SHW-M585D; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.99 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SHW-M480W; Android 12; SDK 32; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.7680.177 Mobile Safari/537.36 Telegram-Android/12.0.0 (Tecno TECNO-L6; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.111 Mobile Safari/537.36 Telegram-Android/12.2.1 (Tecno TECNO KG5j; Android 12; SDK 32; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.100 Mobile Safari/537.36 Telegram-Android/12.0.0 (Google Pixel 10a; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.135 Mobile Safari/537.36 Telegram-Android/12.5.2 (Samsung SM-G360GY; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.75 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SM-T727R4; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.121 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SM-A320X; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.163 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SM-G550T2; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.121 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SM-G973F; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 Mobile Safari/537.36 Telegram-Android/11.7.0 (Samsung GT-S5310; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 11; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.112 Mobile Safari/537.36 Telegram-Android/11.7.0 (Samsung SM-A7050; Android 11; SDK 30; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.163 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung GT-P5220; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.134 Mobile Safari/537.36 Telegram-Android/12.0.0 (Xiaomi 2014817; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.134 Mobile Safari/537.36 Telegram-Android/12.3.0 (Tecno TECNO i5; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.121 Mobile Safari/537.36 Telegram-Android/12.5.2 (Samsung SM-G386T1; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.120 Mobile Safari/537.36 Telegram-Android/11.7.0 (Tecno TECNO Mobile KG8; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6635.101 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SM-F700U; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.121 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SM-M515F; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.134 Mobile Safari/537.36 Telegram-Android/12.5.2 (Samsung GT-S7270; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6635.101 Mobile Safari/537.36 Telegram-Android/11.5.3 (Google Pixel 7 Pro; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.60 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SM-J727R4; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.135 Mobile Safari/537.36 Telegram-Android/12.5.2 (Samsung SCV42; Android 15; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.78 Mobile Safari/537.36 Telegram-Android/12.1.0 (Samsung SM-M305F; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.135 Mobile Safari/537.36 Telegram-Android/12.1.0 (Samsung SM-J320FN; Android 15; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.121 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SCL21; Android 12; SDK 32; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.75 Mobile Safari/537.36 Telegram-Android/12.5.2 (Samsung SCH-R680; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.7680.177 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SM-M205N; Android 12; SDK 32; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.163 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SAMSUNG-SM-N920A; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.120 Mobile Safari/537.36 Telegram-Android/12.4.1 (Google Yellowstone; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.163 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung Samsung Chromebook 3; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 Mobile Safari/537.36 Telegram-Android/11.5.3 (Xiaomi 22200414R; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.135 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SM-A066B; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 16; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6635.101 Mobile Safari/537.36 Telegram-Android/12.3.0 (OnePlus GM1901; Android 16; SDK 36; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.134 Mobile Safari/537.36 Telegram-Android/11.5.3 (Samsung SM-J737P; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.60 Mobile Safari/537.36 Telegram-Android/11.7.0 (Samsung SHW-M440S; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.163 Mobile Safari/537.36 Telegram-Android/12.3.0 (OnePlus HD1925; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.163 Mobile Safari/537.36 Telegram-Android/12.2.1 (Samsung GT-B5510; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.99 Mobile Safari/537.36 Telegram-Android/12.2.1 (Samsung SM-T735; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.99 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SM-T585C; Android 12; SDK 32; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.112 Mobile Safari/537.36 Telegram-Android/12.0.0 (Tecno TECNO-A7S; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.7680.177 Mobile Safari/537.36 Telegram-Android/11.5.3 (Samsung GT-P1000M; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.120 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SM-S908U1; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.121 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SM-T385L; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.99 Mobile Safari/537.36 Telegram-Android/11.7.0 (Tecno TECNO LI6; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.121 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SM-S947W; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.95 Mobile Safari/537.36 Telegram-Android/12.2.1 (Samsung SAMSUNG-SGH-I957M; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.134 Mobile Safari/537.36 Telegram-Android/11.7.0 (Samsung SM-S134DL; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.163 Mobile Safari/537.36 Telegram-Android/12.0.0 (Samsung GT-S6310; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.120 Mobile Safari/537.36 Telegram-Android/12.0.0 (Tecno TECNO CD8j; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.135 Mobile Safari/537.36 Telegram-Android/11.5.3 (Samsung GT-P6810; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.111 Mobile Safari/537.36 Telegram-Android/11.5.3 (Samsung SCH-R950; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.111 Mobile Safari/537.36 Telegram-Android/12.4.1 (Xiaomi MiTV-MSSP2; Android 13; SDK 33; MEDIUM)
Mozilla/5.0 (Linux; Android 12; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SM-G903M; Android 12; SDK 32; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.120 Mobile Safari/537.36 Telegram-Android/12.2.1 (Samsung SM-J210F; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.60 Mobile Safari/537.36 Telegram-Android/11.6.1 (Samsung SM-T865; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/146.0.7680.177 Mobile Safari/537.36 Telegram-Android/12.1.0 (Samsung GT-I9195; Android 15; SDK 35; MEDIUM)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.99 Mobile Safari/537.36 Telegram-Android/11.5.3 (Samsung SCH-I200PP; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 11; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.6943.134 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SM-S9110; Android 11; SDK 30; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.60 Mobile Safari/537.36 Telegram-Android/12.4.1 (Samsung SM-S948Q; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.78 Mobile Safari/537.36 Telegram-Android/12.5.2 (Samsung SM-J327V; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SM-G3586V; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.99 Mobile Safari/537.36 Telegram-Android/11.8.1 (Samsung SCG07; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.60 Mobile Safari/537.36 Telegram-Android/12.1.0 (Samsung SM-G130H; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.112 Mobile Safari/537.36 Telegram-Android/12.3.0 (Samsung SM-J337A; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 Mobile Safari/537.36 Telegram-Android/12.5.2 (Xiaomi Redmi Note 6 Pro; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.163 Mobile Safari/537.36 Telegram-Android/12.5.2 (Samsung SM-J727VPP; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 15; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 Mobile Safari/537.36 Telegram-Android/11.6.1 (Samsung SM-T337T; Android 15; SDK 35; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.135 Mobile Safari/537.36 Telegram-Android/12.4.1 (Xiaomi MiTV-MOOR2; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6635.101 Mobile Safari/537.36 Telegram-Android/12.0.0 (Tecno TECNO CL7; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.7049.100 Mobile Safari/537.36 Telegram-Android/12.0.0 (Samsung SM-N930L; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.95 Mobile Safari/537.36 Telegram-Android/12.1.0 (Samsung SM-S266V; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 11; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.6667.75 Mobile Safari/537.36 Telegram-Android/12.5.2 (Samsung SM-C115M; Android 11; SDK 30; MEDIUM)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.7103.60 Mobile Safari/537.36 Telegram-Android/11.7.0 (Tecno TECNO PP7E-SLA1; Android 14; SDK 34; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.6778.120 Mobile Safari/537.36 Telegram-Android/12.2.1 (Xiaomi MiTV-MOSR3; Android 14; SDK 34; MEDIUM)
Mozilla/5.0 (Linux; Android 13; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.6635.101 Mobile Safari/537.36 Telegram-Android/11.7.0 (Samsung SM-T350X; Android 13; SDK 33; HIGH)
Mozilla/5.0 (Linux; Android 14; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.6998.99 Mobile Safari/537.36 Telegram-Android/12.0.0 (Samsung GT-S6810M; Android 14; SDK 34; HIGH)
